.,query_string,normalized_string,freq,total_freq
1087,theory of ruin-value ',theory of ruin-value,1,3
1088,theory of rumors of,theory of rumors,1,2
1089,theory of scales ),theory of scales,1,3
1090,theory of science,theory of science,1,3
1091,theory of sciences,theory of sciences,1,3
1092,theory of self-orientation of,theory of self-orientation,1,2
1093,theory of sema /,theory of sema,1,2
1094,theory of semantic heuristics,theory of semantic heuristics,1,1
1095,theory of semantic networking,theory of semantic networking,1,2
1096,theory of semantic processing,theory of semantic processing,1,2
1097,theory of semantic r,theory of semantic r,1,1
1098,theory of semantics can,theory of semantics can,1,1
1099,theory of semantics language,theory of semantics language,1,2
1100,theory of semantics of,theory of semantics,1,4
1101,theory of sense ',theory of sense,1,4
1102,theory of sense sense,theory of sense,1,4
1103,theory of serial correlations,theory of serial correlations,1,1
1104,theory of set complexes,theory of set complexes,1,3
1105,theory of set-complexes music,theory of set-complexes music,1,2
1106,theory of sexual selection,theory of sexual selection,1,2
1107,theory of shakespeare authorship,theory of authorship shakespeare,1,4
1108,theory of shape shading,theory of shape shading,1,2
1109,theory of sign underpins,theory of sign underpins,1,2
1110,theory of signs .,theory of signs,1,14
1111,theory of signs conceives,theory of signs conceives,1,1
1112,theory of signs one,theory of signs one,1,2
1113,theory of signs proposed,theory of signs proposed,1,1
1114,theory of skill acquisition,theory of skill acquisition,1,2
1115,theory of smith solitary,theory of smith solitary,1,1
1116,theory of so-called ',theory of so-called,1,2
1117,theory of social change,theory of social change,1,2
1118,theory of social editing,theory of social editing,1,2
1119,theory of social interactions,theory of social interactions,1,1
1120,theory of social preference,theory of social preference,1,1
1121,theory of software simulation,theory of software simulation,1,2
1122,theory of solution used,theory of solution used,1,2
1123,theory of soul,theory of soul,1,3
1124,theory of south asian,theory of south asian,1,2
1125,theory of spanish golden,theory of spanish golden,1,1
1126,theory of spatial production,theory of spatial production,1,2
1127,theory of speech writing,theory of speech writing,1,2
1128,theory of split personality,theory of split personality,1,1
1129,theory of statistical pattern,theory of statistical pattern,1,1
1130,theory of statistical stylistics,theory of statistical stylistics,1,2
1131,theory of statistics,theory of statistics,1,8
1132,theory of statistics :,theory of statistics,1,8
1133,theory of statistics .,theory of statistics,1,8
1134,theory of statistics guide,theory of statistics guide,1,2
1135,theory of stories proposed,theory of stories proposed,1,1
1136,theory of story points,theory of story points,1,1
1137,theory of strategies,theory of strategies,1,5
1138,theory of strategies (,theory of strategies,1,5
1139,theory of stratification .,theory of stratification,1,2
1140,theory of stratificational grammar,theory of stratificational grammar,1,1
1141,theory of streaming media,theory of streaming media,1,2
1142,theory of streaming video,theory of streaming video,1,1
1143,theory of stress .,theory of stress,1,2
1144,theory of students learn,theory of students learn,1,1
1145,theory of style,theory of style,1,15
1146,theory of style answers,theory of style answers,1,2
1147,theory of style rhetoric,theory of style rhetoric,1,2
1148,theory of style shed,theory of style shed,1,1
1149,theory of styles .,theory of styles,1,3
1150,theory of styles abstract,theory of styles abstract,1,2
1151,theory of stylistic change,theory of stylistic change,1,1
1152,theory of stylistics,theory of stylistics,1,3
1153,theory of subject .,theory of subject,1,4
1154,theory of subject of,theory of subject,1,4
1155,theory of subjectivity,theory of subjectivity,1,3
1156,theory of sublanguages language,theory of sublanguages language,1,1
1157,theory of sublime :,theory of sublime,1,2
1158,theory of superiority complex,theory of superiority complex,1,2
1159,theory of swedish nursery,theory of swedish nursery,1,1
1160,theory of symbolic depends,theory of symbolic depends,1,2
1161,theory of syntactic change,theory of syntactic change,1,2
1162,"theory of systems \""",theory of systems,1,2
1163,theory of technology digital,theory of technology digital,1,1
1164,theory of technology threatens,theory of technology threatens,1,1
1165,theory of tei .,theory of tei,1,2
1166,theory of tei's interchangeability,theory of tei's interchangeability,1,2
1167,theory of term discrimination,theory of term discrimination,1,2
1168,theory of term value,theory of term value,1,1
1169,theory of text encoding,theory of text encoding,1,2
1170,theory of text grammars,theory of text grammars,1,1
1171,theory of text hence,theory of text hence,1,2
1172,theory of text proposing,theory of text proposing,1,1
1173,theory of text scholarly,theory of text scholarly,1,1
1174,theory of text types,theory of text types,1,2
1175,theory of texts .,theory of texts,1,14
1176,theory of texts analysis,theory of texts analysis,1,2
1177,theory of texts constitutes,theory of texts constitutes,1,1
1178,theory of texts design,theory of texts design,1,2
1179,theory of texts general,theory of texts general,1,2
1180,theory of texts intended,theory of texts intended,1,2
1181,theory of texts see,theory of texts see,1,2
1182,theory of textual cnticism,theory of textual cnticism,1,1
1183,theory of textual computing,theory of textual computing,1,1
1184,theory of textual criticism,theory of textual criticism,1,1
1185,theory of textual features,theory of textual features,1,2
1186,theory of textual non-self-identity,theory of textual non-self-identity,1,1
1187,theory of textual understanding,theory of textual understanding,1,2
1188,theory of textuality .,theory of textuality,1,4
1189,theory of textuality denies,theory of textuality denies,1,1
1190,theory of textuality unfortunate,theory of textuality unfortunate,1,1
1191,theory of thematic relations,theory of thematic relations,1,1
1192,theory of things based,theory of things based,1,1
1193,theory of thompson (,theory of thompson,1,2
1194,theory of tona#ty .,theory of tona#ty,1,2
1195,theory of tonal bass,theory of tonal bass,1,2
1196,theory of tonality,theory of tonality,1,7
1197,theory of topoi loci,theory of topoi loci,1,1
1198,theory of transformation one,theory of transformation one,1,2
1199,theory of transformational generative,theory of transformational generative,1,1
1200,theory of transformative writing,theory of transformative writing,1,1
1201,theory of translation,theory of translation,1,5
1202,theory of translation implement,theory of translation implement,1,2
1203,theory of translation message,theory of translation message,1,2
1204,theory of tropes anthropology,theory of tropes anthropology,1,2
1205,theory of tropes figures,theory of tropes figures,1,2
1206,theory of tutoring embodied,theory of tutoring embodied,1,1
1207,theory of types ;,theory of types,1,5
1208,theory of types of,theory of types,1,5
1209,theory of typographic form,theory of typographic form,1,2
1210,theory of uncertainty,theory of uncertainty,1,3
1211,theory of understanding (,theory of understanding,1,2
1212,theory of use of,theory of use,1,2
1213,theory of validate abms,theory of validate abms,1,2
1214,theory of value,theory of value,1,4
1215,theory of value shared,theory of value shared,1,1
1216,theory of values ',theory of values,1,3
1217,theory of verification of,theory of verification,1,2
1218,theory of verse ',theory of verse,1,14
1219,theory of verse empirical,theory of verse empirical,1,1
1220,theory of vibrant matter,theory of vibrant matter,1,2
1221,theory of virtue .,theory of virtue,1,3
1222,theory of vision,theory of vision,1,6
1223,theory of vision NA,theory of vision,1,6
1224,theory of visual perception,theory of visual perception,1,1
1225,theory of visuality NA,theory of visuality,1,3
1226,theory of vocabulary,theory of vocabulary,1,3
1227,theory of word emotionality,theory of word emotionality,1,2
1228,theory of word-distribution,theory of word-distribution,1,3
1229,theory of word-formation,theory of word-formation,1,3
1230,theory of world .,theory of world,1,2
1231,theory of writing (,theory of writing,1,9
1232,theory of writing [,theory of writing,1,9
1,theories of knowledge representation research,theories of knowledge representation research,4,4
2,theory of making of technology,theory of making of technology,4,4
3,theory of aesthetic evolution,theory of aesthetic evolution,3,8
4,theory of generative lexical morphology,theory of generative lexical morphology,3,3
5,theory of historical computing,theory of historical computing,3,6
6,theory of language NA NA,theory of language,3,64
7,theory of literature,theory of literature,3,39
8,theory of ordering lexicographic entries,theory of ordering lexicographic entries,3,3
9,theory of tonal music .,theory of tonal music,3,9
10,theory of word order universals,theory of word order universals,3,3
11,theories of late 1900s,theories of late 1900s,2,4
12,theories of linked open data,theories of linked open data,2,2
13,theories of music . related,theories of music . related,2,2
14,theories of narrative discourse comprehension,theories of narrative discourse comprehension,2,2
15,theories of sound generation give,theories of sound generation give,2,2
16,theories of structure of specific,theories of structure of specific,2,2
17,theories of writing,theories of writing,2,15
18,theorist of digital technology ;,theorist of digital technology,2,4
19,theory of . verse,theory of verse,2,14
20,theory of 1960s 70s toward,theory of 1960s 70s toward,2,2
21,theory of aurality reflected NA,theory of aurality reflected,2,4
22,theory of book of mormon,theory of book of mormon,2,2
23,"theory of content analysis \""",theory of content analysis,2,4
24,theory of diffusion of innovations,theory of diffusion of innovations,2,2
25,theory of directed graphs (,theory of directed graphs,2,4
26,theory of electronic text markup,theory of electronic text markup,2,2
27,theory of formal languages (,theory of formal languages,2,6
28,theory of fuzzy sets,theory of ' fuzzy sets,2,10
29,theory of generalized quantifiers .,theory of generalized quantifiers,2,10
30,theory of generalized quantifiers of,theory of generalized quantifiers,2,10
31,theory of human information processing,theory of human information processing,2,2
32,theory of human nature of,theory of human nature,2,4
33,theory of ideas,theory of ideas,2,6
34,theory of inexact pattern matching,theory of inexact pattern matching,2,2
35,theory of interface inadequate .,theory of interface inadequate,2,4
36,theory of language understanding appears,theory of language understanding appears,2,2
37,theory of meaning includes ',theory of meaning includes,2,4
38,theory of mediation helps us,theory of mediation helps us,2,2
39,theory of mt,theory of mt,2,6
40,theory of music mathematical linguistics,theory of music mathematical linguistics,2,2
41,theory of musical structure .,theory of musical structure,2,4
42,theory of narrative ' NA,theory ofrrative ',2,2
43,theory of narrative coherence discussion,theory of narrative coherence discussion,2,2
44,theory of narrative evolution -,theory of narrative evolution,2,4
45,theory of resulting corpora represent,theory of resulting corpora represent,2,2
46,theory of semantic-pragmatic coherence of,theory of semantic-pragmatic coherence,2,4
47,theory of semiotics becomes obvious,theory of semiotics becomes obvious,2,2
48,theory of si parsing,theory of si parsing,2,4
49,theory of suspensions ( princeton,theory of suspensions ( princeton,2,2
50,theory of suspensions see arthur,theory of suspensions see arthur,2,2
51,theory of syntax ( 1965,theory of syntax ( 1965,2,2
52,theory of text . markup,theory of text . markup,2,2
53,theory of text underlies NA,theory of text underlies,2,4
54,theory of textual analysis,theory of textual analysis,2,4
55,theory of tonality . sydney,theory of tonality . sydney,2,2
56,theory of transformational grammar .,theory of transformational grammar,2,5
57,theory of verse,theory of verse,2,14
58,theorem of ' equivalent interactions,theorem of ' equivalent interactions,1,1
59,theorems of foundations of modern,theorems of foundations of modern,1,1
60,theorems of theory . 6,theorems of theory,1,3
61,theoretical of essays . selected,theoretical of essays . selected,1,1
62,theoretician of french poetic form,theoretician of french poetic form,1,1
63,theoreticians of bibliographic information define,theoreticians of bibliographic information define,1,1
64,theoreticians of literature provide rich,theoreticians of literature provide rich,1,1
65,theoreticians of variationist grammar .,theoreticians of variationist grammar,1,2
66,theoreticizing of process,theoreticizing of process,1,3
67,theories of ' virtual window,theories of ' virtual window,1,1
68,"theories of \"" natural language",theories of  natural language,1,2
69,theories of affordance prospect demonstrate,theories of affordance prospect demonstrate,1,1
70,theories of agency ( wardrip-fruin,theories of agency ( wardrip-fruin,1,1
71,theories of agent modelling,theories of agent modelling,1,2
72,theories of alan turing .,theories of alan turing,1,2
73,theories of allegory,theories of allegory,1,3
74,theories of allusion ( ben-porat,theories of allusion ( ben-porat,1,1
75,theories of animal ethologist donald,theories of animal ethologist donald,1,1
76,theories of animal evolution appear,theories of animal evolution appear,1,1
77,theories of arts bother us,theories of arts bother us,1,1
78,theories of arts multiple NA,theories of arts multiple,1,2
79,theories of aurality . work,theories of aurality . work,1,1
80,theories of authorial markers linguistic,theories of authorial markers linguistic,1,1
81,theories of authorship attribution can,theories of authorship attribution can,1,1
82,theories of barthes,theories of barthes,1,3
83,theories of behaviour . many,theories of behaviour . many,1,1
84,theories of brain / mind,theories of brain / mind,1,1
85,theories of calculus of variants,theories of calculus of variants,1,1
86,theories of case,theories of case,1,3
87,theories of character descriptions,theories of character descriptions,1,2
88,theories of child learning,theories of child learning,1,2
89,theories of church government soon,theories of church government soon,1,1
90,theories of classical operant conditioning,theories of classical operant conditioning,1,1
91,theories of classification,theories of classification,1,3
92,theories of cognition,theories of cognition,1,4
93,theories of cognition knowledge reflect,theories of cognition knowledge reflect,1,1
94,theories of cohesion ? coherence,theories of cohesion ? coherence,1,1
95,theories of collaborative knowledge psychology,theories of collaborative knowledge psychology,1,1
96,theories of collaborative learning .,theories of collaborative learning,1,2
97,theories of comics distinguish single-panel,theories of comics distinguish single-panel,1,1
98,theories of communication,theories of communication,1,9
99,theories of communication,theories of communication,1,9
100,theories of communication concerned NA,theories of communication concerned,1,2
101,theories of communication historical change,theories of communication historical change,1,1
102,theories of communication technology .,theories of communication technology,1,2
103,theories of communicative competence .,theories of communicative competence,1,2
104,theories of complex networks network,theories of complex networks network,1,1
105,theories of complex temporalities,theories of complex temporalities,1,2
106,theories of composing process ?,theories of composing process,1,2
107,theories of composition,theories of composition,1,4
108,theories of composition probably NA,theories of composition probably,1,2
109,theories of computation,theories of computation,1,3
110,theories of computer analysis ),theories of computer analysis,1,2
111,theories of computer coding,theories of computer coding,1,2
112,theories of computer computer-assisted editions,theories of computer computer-assisted editions,1,1
113,theories of computer games (,theories of computer games,1,2
114,theories of copy-text,theories of copy-text,1,3
115,"theories of counts knowing \""",theories of counts knowing,1,2
116,theories of critical editing (,theories of critical editing,1,2
117,theories of crowdsourcing . explore,theories of crowdsourcing . explore,1,1
118,theories of cultural evolution predict,theories of cultural evolution predict,1,1
119,"theories of curating \"" [",theories of curating,1,3
120,theories of currency flow,theories of currency flow,1,2
121,theories of dates disprove others,theories of dates disprove others,1,1
122,theories of david greetham [,theories of david greetham,1,2
123,theories of deep structure .,theories of deep structure,1,2
124,theories of demography crystallized,theories of demography crystallized,1,2
125,theories of development . happened,theories of development . happened,1,1
126,theories of diffusion combined NA,theories of diffusion combined,1,2
127,theories of digital art :,theories of digital art,1,2
128,theories of digital communication,theories of digital communication,1,2
129,theories of digital editing,theories of digital editing,1,2
130,theories of digital literary,theories of digital literary,1,2
131,theories of digital technologies .,theories of digital technologies,1,2
132,theories of discourse . several,theories of discourse . several,1,1
133,theories of discourse analysis bear,theories of discourse analysis bear,1,1
134,theories of discourse analysis lyric,theories of discourse analysis lyric,1,1
135,theories of discourse analysis multiple,theories of discourse analysis multiple,1,1
136,theories of discourse comprehension .,theories of discourse comprehension,1,2
137,theories of discourse structure .,theories of discourse structure,1,4
138,theories of discourse structure NA,theories of discourse structure,1,4
139,theories of discovery learning learning,theories of discovery learning,1,2
140,theories of dispersed decentered text,theories of dispersed decentered text,1,1
141,theories of distributed cognition generally,theories of distributed cognition generally,1,1
142,theories of document ? certainly,theories of document ? certainly,1,1
143,theories of dom h .,theories of dom h,1,2
144,theories of domain can apply,theories of domain can apply,1,1
145,theories of domain formulated NA,theories of domain formulated,1,2
146,theories of dora h .,theories of dora h,1,2
147,theories of dreams middle ages,theories of dreams middle ages,1,1
148,theories of e.g . g,theories of e.g . g,1,1
149,theories of economic performance NA,theories of economic performance,1,2
150,theories of economic political behaviour,theories of economic political behaviour,1,1
151,theories of editing,theories of editing,1,7
152,theories of editing ( especially,theories of editing ( especially,1,1
153,theories of editing book production,theories of editing book production,1,1
154,theories of editing transformative near,theories of editing transformative near,1,1
155,theories of editorial practice .,theories of editorial practice,1,3
156,theories of editorial practice disciplinary,theories of editorial practice disciplinary,1,1
157,theories of ekphrasis remained relatively,theories of ekphrasis remained relatively,1,1
158,theories of electoral behavior students,theories of electoral behavior students,1,1
159,theories of electoral choice,theories of electoral choice,1,4
160,theories of electoral choice .,theories of electoral choice,1,4
161,theories of electronic edition can,theories of electronic edition can,1,1
162,theories of electronic literacy theories,theories of electronic literacy,1,2
163,theories of encoding discrete textual,theories of encoding discrete textual,1,1
164,theories of enunciation distinguish modes,theories of enunciation distinguish modes,1,1
165,theories of enunciation drawn primarily,theories of enunciation drawn primarily,1,1
166,theories of enunciation take account,theories of enunciation take account,1,1
167,theories of epistemology,theories of epistemology,1,3
168,theories of extended mind ask,theories of extended mind ask,1,1
169,theories of feature ( componential,theories of feature ( componential,1,1
170,theories of feminism,theories of feminism,1,3
171,theories of finding arguments,theories of finding arguments,1,2
172,theories of foucault,theories of foucault,1,3
173,theories of games,theories of games,1,6
174,theories of games,theories of games,1,6
175,theories of gender representation .,theories of gender representation,1,2
176,theories of gender sexuality,theories of gender sexuality,1,2
177,theories of gender technology,theories of gender technology,1,2
178,theories of globalization well postcolonial,theories of globalization well postcolonial,1,1
179,theories of governmentality,theories of governmentality,1,3
180,theories of grammar can expressed,theories of grammar can expressed,1,1
181,theories of grammar treat gappings,theories of grammar treat gappings,1,1
182,theories of handwriting hold writing,theories of handwriting hold,1,2
183,theories of health scientists fat,theories of health scientists fat,1,1
184,theories of history become much,theories of history become much,1,1
185,theories of history novel ?,theories of history novel,1,2
186,theories of human behavior,theories of human behavior,1,5
187,theories of human behavior .,theories of human behavior,1,5
188,theories of human behavior used,theories of human behavior used,1,1
189,theories of human lexical organization,theories of human lexical organization,1,1
190,theories of human motivation,theories of human motivation,1,2
191,theories of human motive,theories of human motive,1,2
192,theories of human relationships,theories of human relationships,1,2
193,theories of humans perceive reality,theories of humans perceive reality,1,1
194,theories of hypermedia take account,theories of hypermedia take account,1,1
195,theories of imperfected authorial intention,theories of imperfected authorial intention,1,1
196,theories of incremental change time,theories of incremental change time,1,1
197,theories of inference knowledge representation,theories of inference knowledge representation,1,1
198,theories of influence originality,theories of influence originality,1,2
199,theories of information,theories of information,1,5
200,theories of information belies distance,theories of information belies distance,1,1
201,theories of information derrida's notion,theories of information derrida's notion,1,1
202,theories of intelligence . one,theories of intelligence . one,1,1
203,theories of intelligence ( thinking,theories of intelligence ( thinking,1,1
204,theories of intelligence must begin,theories of intelligence must begin,1,1
205,theories of interactive fiction,theories of interactive fiction,1,2
206,theories of intercultural exchange .,theories of intercultural exchange,1,2
207,theories of interpretation . process,theories of interpretation . process,1,1
208,theories of interrelationships author NA,theories of interrelationships author,1,2
209,theories of intersectionality . finally,theories of intersectionality . finally,1,1
210,theories of intertextuality .,theories of intertextuality,1,5
211,theories of intertextuality . instructors,theories of intertextuality . instructors,1,1
212,theories of investigator . (,theories of investigator,1,3
213,theories of jacques derrida,theories of jacques derrida,1,2
214,theories of knowledge representation can,theories of knowledge representation can,1,1
215,theories of knowledge representation computation,theories of knowledge representation computation,1,1
216,theories of knowledge representation particularly,theories of knowledge representation particularly,1,1
217,theories of knowledge representation transparent,theories of knowledge representation transparent,1,1
218,theories of language,theories of language,1,13
219,theories of language ; language,theories of language,1,13
220,theories of language : word,theories of language : word,1,1
221,theories of language . old-school,theories of language . old-school,1,1
222,theories of language acquisition ;,theories of language acquisition,1,4
223,theories of language acquisition .,theories of language acquisition,1,4
224,theories of language use,theories of language use,1,2
225,theories of late 1990s emphasized,theories of late 1990s emphasized,1,1
226,theories of late-18th century culminating,theories of late-18th century culminating,1,1
227,theories of learning,theories of learning,1,4
228,theories of learning instruction motivate,theories of learning instruction motivate,1,1
229,theories of letter writing,theories of letter writing,1,2
230,theories of lexical density,theories of lexical density,1,2
231,theories of lexical diffusion competing,theories of lexical diffusion competing,1,1
232,theories of linguistic performance ',theories of linguistic performance,1,2
233,theories of literary change based,theories of literary change based,1,1
234,theories of literary characters [,theories of literary characters,1,3
235,theories of literary characters combined,theories of literary characters combined,1,1
236,theories of literary history .,theories of literary history,1,3
237,theories of literary history reading,theories of literary history reading,1,1
238,theories of literature,theories of literature,1,14
239,theories of literature,theories of literature,1,14
240,theories of literature . question,theories of literature . question,1,1
241,theories of literature ( compagnon,theories of literature ( compagnon,1,1
242,theories of literature either presuppose,theories of literature either presuppose,1,1
243,theories of literature engages comparisons,theories of literature engages comparisons,1,1
244,theories of literature insist role,theories of literature insist role,1,1
245,theories of literature sought treat,theories of literature sought treat,1,1
246,theories of long-run development,theories of long-run development,1,2
247,theories of long-term political economic,theories of long-term political economic,1,1
248,theories of man society NA,theories of man society,1,2
249,theories of mannheim,theories of mannheim,1,3
250,theories of margins,theories of margins,1,5
251,theories of margins ( wahlstrom,theories of margins ( wahlstrom,1,1
252,theories of materiality n .,theories of materiality n,1,2
253,theories of meaning,theories of meaning,1,12
254,theories of meaning,theories of meaning,1,12
255,"theories of meaning \"" record",theories of meaning record,1,1
256,theories of meaning philosophy linguistics,theories of meaning philosophy linguistics,1,1
257,theories of meaning power,theories of meaning power,1,2
258,theories of meaning relationships NA,theories of meaning relationships,1,2
259,theories of meaning studies of,theories of meaning studies,1,2
260,theories of meanings bodies get,theories of meanings bodies get,1,1
261,theories of media,theories of media,1,8
262,theories of media . instead,theories of media . instead,1,1
263,theories of media change .,theories of media change,1,2
264,theories of media control .,theories of media control,1,2
265,theories of media reading back,theories of media reading back,1,1
266,"theories of mediation \"" [",theories of mediation,1,3
267,theories of mental encoding explain,theories of mental encoding explain,1,1
268,theories of mental representations of,theories of mental representations,1,2
269,theories of metaphor ; second,theories of metaphor ; second,1,1
270,theories of metaphor . use,theories of metaphor . use,1,1
271,theories of metaphor need explication,theories of metaphor need explication,1,1
272,theories of metaphor order proceed,theories of metaphor order proceed,1,1
273,theories of metaphor trying develop,theories of metaphor trying develop,1,1
274,theories of metaphor unfortunately focused,theories of metaphor unfortunately focused,1,1
275,theories of mid twentieth-century -,theories of mid twentieth-century,1,2
276,"theories of mind . \""",theories of mind,1,3
277,theories of modern art,theories of modern art,1,2
278,theories of modern linguistics .,theories of modern linguistics,1,2
279,theories of modern physics,theories of modern physics,1,2
280,theories of morphology,theories of morphology,1,4
281,theories of morphology judith l,theories of morphology judith l,1,1
282,theories of multimedia learning [,theories of multimedia learning,1,2
283,theories of multimodality also taking,theories of multimodality also taking,1,1
284,theories of multimodality analytical foci,theories of multimodality analytical foci,1,1
285,theories of multimodality evaluate NA,theories of multimodality evaluate,1,2
286,theories of multiple authorship,theories of multiple authorship,1,2
287,theories of music encoded repertories,theories of music encoded repertories,1,1
288,theories of music well NA,theories of music well,1,2
289,theories of musical structure far,theories of musical structure far,1,1
290,theories of musical structure NA,theories of musical structure,1,3
291,theories of names ' genders,theories of names ' genders,1,1
292,theories of narrative . correlating,theories of narrative . correlating,1,1
293,theories of narrative ( ithaca,theories of narrative ( ithaca,1,1
294,theories of narrative diverge,theories of narrative diverge,1,2
295,theories of narrative games -,theories of narrative games,1,2
296,theories of narratives digital humanities,theories of narratives digital humanities,1,1
297,theories of natural language acquisition,theories of natural language acquisition,1,1
298,theories of network narratives hypertext,theories of network narratives hypertext,1,1
299,theories of neural networks .,theories of neural networks,1,2
300,theories of new media,theories of new media,1,2
301,theories of oral composition NA,theories of oral composition,1,4
302,theories of oral composition of,theories of oral composition,1,4
303,theories of orderly composition processes,theories of orderly composition processes,1,1
304,theories of party identification voting,theories of party identification voting,1,1
305,theories of passions . 2.2,theories of passions,1,4
306,theories of passions require much,theories of passions require much,1,1
307,theories of perception representation .,theories of perception representation,1,2
308,theories of period . NA,theories of period,1,3
309,theories of personality . 4,theories of personality,1,3
310,theories of phenomenological research applies,theories of phenomenological research applies,1,1
311,theories of piracy memorial construction,theories of piracy memorial construction,1,1
312,theories of play poetry .,theories of play poetry,1,2
313,theories of post-structuralist literary proponents,theories of post-structuralist literary proponents,1,1
314,theories of practitioners NA NA,theories of practitioners,1,3
315,theories of public goods predict,theories of public goods predict,1,1
316,"theories of punctuation . \""",theories of punctuation,1,3
317,theories of quantitative textual investigation,theories of quantitative textual investigation,1,1
318,theories of rational orderly processes,theories of rational orderly processes,1,1
319,theories of reader response literature,theories of reader response literature,1,1
320,theories of reader response see,theories of reader response see,1,1
321,theories of readers interact literature,theories of readers interact literature,1,1
322,theories of reading,theories of reading,1,5
323,theories of reading . ezra,theories of reading . ezra,1,1
324,theories of recognition,theories of recognition,1,3
325,theories of relativity ',theories of relativity,1,4
326,theories of relativity emergence of,theories of relativity emergence,1,2
327,theories of relevance multitude of,theories of relevance multitude,1,2
328,theories of representational time constructs,theories of representational time constructs,1,1
329,theories of retinal image optics,theories of retinal image optics,1,1
330,theories of rhyme sound symbolism,theories of rhyme sound symbolism,1,1
331,theories of rhythm quantitative methods,theories of rhythm quantitative methods,1,1
332,theories of russian philologist g.o,theories of russian philologist g.o,1,1
333,theories of salvation,theories of salvation,1,3
334,theories of schank abelson (,theories of schank abelson,1,2
335,theories of scholarly communication developed,theories of scholarly communication developed,1,1
336,theories of scholarly documentary editing,theories of scholarly documentary editing,1,1
337,theories of scholarly editing (,theories of scholarly editing,1,3
338,theories of scholarly editing studied,theories of scholarly editing studied,1,1
339,theories of scholarly textual editing,theories of scholarly textual editing,1,1
340,theories of second language acquisition,theories of second language acquisition,1,1
341,theories of secret ghost writer,theories of secret ghost writer,1,1
342,theories of semantics of analogies,theories of semantics of analogies,1,1
343,theories of shakespearean co-authorship (,theories of shakespearean co-authorship,1,2
344,theories of sign . NA,theories of sign,1,4
345,theories of sign dominated NA,theories of sign dominated,1,2
346,theories of similarity relied upon,theories of similarity relied upon,1,1
347,theories of simulating word processing,theories of simulating word processing,1,1
348,theories of skill acquisition of,theories of skill acquisition,1,2
349,theories of so-called ' new,theories of so-called ' new,1,1
350,theories of social change confuse,theories of social change confuse,1,1
351,theories of social change incomplete,theories of social change incomplete,1,1
352,theories of social perception (,theories of social perception,1,2
353,theories of social processes without,theories of social processes without,1,1
354,theories of social science .,theories of social science,1,6
355,theories of social sciences .,theories of social science,1,6
356,theories of social sciences NA,theories of social science,1,6
357,theories of sound texture concerned,theories of sound texture concerned,1,1
358,theories of sound texture sonant,theories of sound texture sonant,1,1
359,theories of sovereignty - often,theories of sovereignty - often,1,1
360,theories of spaces [ 16,theories of spaces [ 16,1,1
361,theories of spenserian allegory emphasize,theories of spenserian allegory emphasize,1,1
362,theories of stephen krashen,theories of stephen krashen,1,2
363,theories of stimulus attractiveness pictures,theories of stimulus attractiveness pictures,1,1
364,theories of storing retrieval,theories of storing retrieval,1,2
365,theories of stress english (,theories of stress english,1,2
366,theories of structural dialectology attempt,theories of structural dialectology attempt,1,1
367,theories of structural semantic determinism,theories of structural semantic determinism,1,1
368,theories of structure . crane-fiehler,theories of structure . crane-fiehler,1,1
369,theories of stuart hall (,theories of stuart hall,1,2
370,theories of style always remain,theories of style always remain,1,1
371,theories of style employing mathematical,theories of style employing mathematical,1,1
372,theories of stylistic biographical changes,theories of stylistic biographical changes,1,1
373,theories of subject contend within,theories of subject contend within,1,1
374,theories of subject enunciation,theories of subject enunciation,1,2
375,theories of survey archaeology .,theories of survey archaeology,1,2
376,theories of symbolic information processing,theories of symbolic information processing,1,1
377,theories of targets,theories of targets,1,3
378,theories of task constraint ?,theories of task constraint,1,2
379,theories of teaching learning,theories of teaching learning,1,2
380,theories of technological determinism regarding,theories of technological determinism regarding,1,1
381,theories of technology taken account,theories of technology taken account,1,1
382,theories of text,theories of text,1,16
383,theories of text,theories of text,1,16
384,theories of text . epistemological,theories of text . epistemological,1,1
385,theories of text design of,theories of text design,1,2
386,theories of text developed within,theories of text developed within,1,1
387,theories of text discourse within,theories of text discourse within,1,1
388,theories of text privilege physical,theories of text privilege physical,1,1
389,theories of text represented standards,theories of text represented standards,1,1
390,theories of text role NA,theories of text role,1,2
391,theories of text ways of,theories of text ways,1,2
392,theories of text well information-based,theories of text well information-based,1,1
393,theories of text-editing also comprehensive,theories of text-editing also comprehensive,1,1
394,theories of text-encoding,theories of text-encoding,1,3
395,theories of textual editing can,theories of textual editing can,1,1
396,theories of textual practice augment,theories of textual practice augment,1,1
397,theories of textual production advanced,theories of textual production advanced,1,1
398,theories of textuality . abstract,theories of textuality . abstract,1,1
399,"theories of textuality \""",theories of textuality,1,10
400,"theories of textuality \"" sutherland",theories of textuality sutherland,1,1
401,theories of textuality ( literary,theories of textuality ( literary,1,1
402,theories of textuality discourse NA,theories of textuality discourse,1,2
403,theories of tonality originally proposed,theories of tonality originally proposed,1,1
404,theories of tonality principal investigator,theories of tonality principal investigator,1,1
405,theories of transformational-generative grammar .,theories of transformational-generative grammar,1,2
406,theories of translation ( nida,theories of translation ( nida,1,1
407,theories of transmission reconstruction can,theories of transmission reconstruction can,1,1
408,theories of truth . doty,theories of truth . doty,1,1
409,theories of tutoring,theories of tutoring,1,3
410,theories of twentieth-century art,theories of twentieth-century art,1,2
411,theories of utopia . ernst,theories of utopia . ernst,1,1
412,theories of validity of art,theories of validity of art,1,1
